ID,Price
INQ0D6,3.453757
S7ZJIY,11.074067
CZ59WU,7.5526195
P6II8S,8.8136635
50OX2V,5.6767282
3KZ1BG,18.062971
SJG0FF,2.633457
S6Z1K3,2.6240182
S5Z4YC,6.1506944
L4EW07,3.730471
EIS22D,10.632653
7HZZLE,2.04417
X3PR4W,4.8767166
S0SQ2V,4.630185
DTXL89,16.047155
60LWOL,5.8871098
56JCHS,23.410858
JQ8AL9,6.3997135
NCP7E1,2.6702566
DF87AU,4.4358816
2P7SAD,44.412712
5OANZ9,1.6640905
RYIVS5,3.5456223
EOSI3F,9.577665
6I9V5T,3.4596875
0YVCAP,5.149303
MEFNIB,10.016121
BTIZSX,53.0924
TKDA98,24.868664
7YN56Y,17.980114
VFJ3N8,7.8495827
4XA3Q6,20.728125
L8QZG9,2.7768474
QULMX3,9.364717
BVHUOW,5.18821
D4FD4D,2.8575063
H1US62,2.5196319
MEBEW6,6.88945
EZWHXM,8.094929
C7MXZK,3.5368257
XDDRE9,7.0999475
M6C968,7.0618224
AL6JWU,4.469031
UCUJBO,6.798997
63J5SD,7.7289443
O9S49G,7.775204
F5XUV9,11.630817
KAXCHY,2.496753
PEHQ5I,6.585031
JQZEIZ,6.765955
JCJ931,16.3919
P75OON,2.6966994
FJWKD1,22.81689
6EJYAW,2.0392113
KFRSXJ,33.145393
DZTA13,31.301947
LZOGW2,3.5979757
RQQIPG,4.2384887
N781SK,2.9830198
7EQ8NM,6.487437
MEPSFD,3.1980634
1M5VMS,6.9334435
I3O8UQ,4.272707
QVQPUW,2.482316
ND2S2A,4.2253137
AHW56B,3.388453
2TQD0R,8.711916
CRL5SY,3.4383302
BX6VUS,6.9077616
L28PTL,5.8694263
3YO382,6.918305
DJMVKO,3.6686916
TCY7UW,12.268978
48PZ8K,5.483811
3CCRD9,7.0106134
BH193T,40.71551
H6YJLH,62.8569
AV2EB0,46.07357
BSESS1,5.808077
QW3RQK,2.007925
ILLXO3,39.126255
G70MFH,11.5238285
NA745I,4.9406652
MX6RKN,2.9159129
Z4ZBOF,8.796619
BFYZTS,3.5598178
SKT8ZI,14.183598
N2VTF3,1.590847
TDKDGV,19.393015
DGAMJU,29.13903
Z5BI6D,2.4896898
AUTVAY,5.2084723
EU6PPE,3.3330977
LZ4J7U,1.9872166
D9PBJ7,3.2652638
Y6YYI5,30.119102
LU9SD7,6.272878
XLQFZG,11.334922
7D98UD,13.260716
2DXIR1,4.9339995
232MVG,5.9128737
H3RIDN,10.452243
DCXR8C,7.0693383
B3KW5V,20.489351
3L0QEL,0.2216832
6CY41Z,18.703918
EXDYX9,4.5563555
85I3ZC,2.0384424
83SVRG,18.163029
8L817C,22.64661
FK3VNH,4.013304
EBFHH1,1.8901676
O81JLH,13.500888
ODMMYI,9.633598
59LMMC,11.955769
G6L5YB,10.501591
